publication_id,ventas_30d,visitas_30d,precio_actual,valor_transado,score_inicial,categoria_score,categoria_ss_ekmeans,coincide
MLC1878041405,0,1,19999.000000,0.000000,0.307952,C,C,True
MLC1878053449,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1878053659,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1878076597,0,7,19999.000000,0.000000,0.548674,B,A,False
MLC1878076599,0,16,19999.000000,0.000000,0.679563,A,A,True
MLC1878076601,0,8,39999.000000,0.000000,0.819099,A,B,False
MLC1878110373,1,51,4999.000000,4999.000000,0.975288,A,A,True
MLC1878110375,1,3,4999.000000,4999.000000,0.529899,B,A,False
MLC1878110377,0,2,9999.000000,0.000000,0.253373,C,C,True
MLC1878110379,4,71,9999.000000,39996.000000,1.476412,A,A,True
MLC1878110381,0,0,4999.000000,0.000000,0.000112,C,C,True
MLC1878110383,0,23,19999.000000,0.000000,0.739442,A,A,True
MLC1878110385,1,17,9999.000000,9999.000000,0.853567,A,A,True
MLC1880283597,0,1,4999.000000,0.000000,0.120473,C,C,True
MLC1880286743,0,18,19999.000000,0.000000,0.698876,A,A,True
MLC1882021595,0,7,19999.000000,0.000000,0.548674,B,A,False
MLC1882021597,2,50,12420.000000,24840.000000,1.233760,A,A,True
MLC1882021599,0,3,10999.000000,0.000000,0.315826,C,C,True
MLC1882021611,0,77,34990.000000,0.000000,1.131475,A,A,True
MLC1882033427,0,2,4999.000000,0.000000,0.190880,C,C,True
MLC1882033435,6,316,44999.000000,269994.000000,2.311564,A,A,True
MLC1882033437,2,84,9999.000000,19998.000000,1.292203,A,A,True
MLC1882033445,2,94,19999.000000,39998.000000,1.436503,A,A,True
MLC1882039995,0,2,9999.000000,0.000000,0.253373,C,C,True
MLC1882039997,1,3,4999.000000,4999.000000,0.529899,B,A,False
MLC1882039999,0,1,4999.000000,0.000000,0.120473,C,C,True
MLC1882040001,0,24,12999.000000,0.000000,0.659040,A,A,True
MLC1882040003,0,7,9999.000000,0.000000,0.423688,B,A,False
MLC1882040007,1,64,19999.000000,19999.000000,1.201514,A,A,True
MLC1887635501,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887635513,0,1,29999.000000,0.000000,0.432938,B,B,True
MLC1887635515,0,0,19999.000000,0.000000,0.187591,C,C,True
MLC1887635523,0,0,9999.000000,0.000000,0.062605,C,C,True
MLC1887635537,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887635545,0,2,34999.000000,0.000000,0.565838,B,B,True
MLC1887635547,0,1,9999.000000,0.000000,0.182966,C,C,True
MLC1887635621,0,14,19999.000000,0.000000,0.657829,A,A,True
MLC1887635635,0,1,39999.000000,0.000000,0.557924,B,B,True
MLC1887635641,0,2,29999.000000,0.000000,0.503345,B,B,True
MLC1887635665,0,0,24999.000000,0.000000,0.250084,C,C,True
MLC1887635713,0,20,9999.000000,0.000000,0.591269,B,A,False
MLC1887635715,0,0,24999.000000,0.000000,0.250084,C,C,True
MLC1887635717,0,0,19999.000000,0.000000,0.187591,C,C,True
MLC1887635749,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887635797,0,20,19999.000000,0.000000,0.716255,A,A,True
MLC1887672061,0,1,39999.000000,0.000000,0.557924,B,B,True
MLC1887672065,0,1,9999.000000,0.000000,0.182966,C,C,True
MLC1887672069,0,0,19999.000000,0.000000,0.187591,C,C,True
MLC1887672071,0,13,29999.000000,0.000000,0.770834,A,A,True
MLC1887672081,0,7,29999.000000,0.000000,0.673660,A,A,True
MLC1887672083,0,1,34999.000000,0.000000,0.495431,B,B,True
MLC1887672095,0,0,9999.000000,0.000000,0.062605,C,C,True
MLC1887672099,0,3,19999.000000,0.000000,0.428313,B,A,False
MLC1887672105,0,0,14999.000000,0.000000,0.125098,C,C,True
MLC1887672107,0,3,24999.000000,0.000000,0.490806,B,A,False
MLC1887672117,0,0,19999.000000,0.000000,0.187591,C,C,True
MLC1887672185,0,1,39999.000000,0.000000,0.557924,B,B,True
MLC1887672199,0,14,39999.000000,0.000000,0.907801,A,A,True
MLC1887672231,0,5,59999.000000,0.000000,0.998664,A,B,False
MLC1887672241,0,3,29999.000000,0.000000,0.553299,B,B,True
MLC1887672271,0,4,19999.000000,0.000000,0.467061,B,A,False
MLC1887672289,0,2,34999.000000,0.000000,0.565838,B,B,True
MLC1887672301,0,1,9999.000000,0.000000,0.182966,C,C,True
MLC1887672303,0,1,19999.000000,0.000000,0.307952,C,C,True
MLC1887672331,0,1,34999.000000,0.000000,0.495431,B,B,True
MLC1887672347,0,1,19999.000000,0.000000,0.307952,C,C,True
MLC1887672361,0,3,19999.000000,0.000000,0.428313,B,A,False
MLC1887672401,0,5,9999.000000,0.000000,0.373734,B,A,False
MLC1887685131,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1887685133,0,1,9999.000000,0.000000,0.182966,C,C,True
MLC1887685147,0,0,29999.000000,0.000000,0.312577,C,B,False
MLC1887685149,0,3,24999.000000,0.000000,0.490806,B,B,True
MLC1887685155,0,1,19999.000000,0.000000,0.307952,C,C,True
MLC1887685193,0,2,24999.000000,0.000000,0.440852,B,C,False
MLC1887685199,0,0,24999.000000,0.000000,0.250084,C,C,True
MLC1887685201,0,5,19999.000000,0.000000,0.498720,B,A,False
MLC1887685211,0,1,29999.000000,0.000000,0.432938,B,B,True
MLC1887685235,0,8,34999.000000,0.000000,0.756606,A,A,True
MLC1887685255,0,0,9999.000000,0.000000,0.062605,C,C,True
MLC1887685299,0,0,59999.000000,0.000000,0.687535,A,B,False
MLC1887685309,0,0,24999.000000,0.000000,0.250084,C,C,True
MLC1887685339,0,0,19999.000000,0.000000,0.187591,C,C,True
MLC1887685345,0,8,29999.000000,0.000000,0.694113,A,A,True
MLC1887685357,0,0,19999.000000,0.000000,0.187591,C,C,True
MLC1887685371,0,0,39999.000000,0.000000,0.437563,B,B,True
MLC1887685373,0,2,19999.000000,0.000000,0.378359,B,C,False
MLC1887685399,0,1,19999.000000,0.000000,0.307952,C,C,True
MLC1887685433,0,1,19999.000000,0.000000,0.307952,C,C,True
MLC1887685437,0,0,24999.000000,0.000000,0.250084,C,C,True
MLC1887685447,0,1,19999.000000,0.000000,0.307952,C,C,True
